wellName,DEPTH,CGR,CPERM,CPHI,DT,DTSM,Facies,GR,MSFL,NPHI,PEF,Perm_Buckles_UpAs,PHIE,RHOB,RT,SWE,ZONE_NAME,net_gross
A-18-00,1012.88,8.30178,-9999,-9999,76.7957,149.6058,-9999,27.7652,0.426115,0.33968,2.85989,-9999,0.2896568,2.37996,0.395404,0.8952135,Dammam,net
A-18-00,1013.03,9.28586,-9999,-9999,75.9031,148.3139,-9999,28.8982,0.422888,0.341126,2.878444,-9999,0.2880084,2.38402,0.393975,0.9018945,Dammam,net
A-18-00,1013.18,10.5502,-9999,-9999,75.6015,147.7847,-9999,30.0091,0.415478,0.340317,2.908936,-9999,0.2853278,2.38865,0.387398,0.9170483,Dammam,net
A-18-00,1013.33,11.8505,-9999,-9999,75.6504,148.6489,-9999,31.014,0.421706,0.333911,2.929317,-9999,0.281906,2.39363,0.392625,0.9218709,Dammam,net
A-18-00,1013.49,13.1248,-9999,-9999,76.0368,150.1417,-9999,31.8547,0.428211,0.329888,2.925778,-9999,0.2781778,2.39744,0.397956,0.925912,Dammam,net
A-18-00,1013.64,14.2169,-9999,0.262541367,76.9408,151.2169,-9999,32.1641,0.409899,0.332508,2.902533,-9999,0.2804347,2.39555,0.379543,0.9401981,Dammam,net
A-18-00,1013.79,14.6268,-9999,-9999,78.4254,152.1676,-9999,31.4609,0.376237,0.335869,2.87294,-9999,0.287866,2.38524,0.346504,0.9600593,Dammam,net
A-18-00,1013.94,14.2362,-9999,-9999,80.4758,155.1894,-9999,30.4038,0.350422,0.335645,2.84565,-9999,0.2992433,2.36676,0.320783,0.9624974,Dammam,net
A-18-00,1014.1,13.7293,-9999,-9999,82.5699,160.2315,-9999,28.8811,0.342073,0.334695,2.832189,-9999,0.3087819,2.34439,0.311694,0.9470836,Dammam,net
A-18-00,1014.25,12.7775,-9999,0.372603111,83.8361,165.1914,-9999,26.5719,0.347698,0.336211,2.842463,-9999,0.316627,2.32483,0.316669,0.9168515,Dammam,net
A-18-00,1014.4,11.162,-9999,-9999,83.7025,167.6079,-9999,24.4733,0.359066,0.336183,2.879305,-9999,0.3237528,2.31592,0.328168,0.8845082,Dammam,net
A-18-00,1014.55,9.78711,-9999,-9999,82.2244,166.9967,-9999,23.9434,0.375789,0.331637,2.928641,-9999,0.3183001,2.32347,0.344924,0.8775009,Dammam,net
A-18-00,1014.71,9.79657,-9999,-9999,80.1618,163.8636,-9999,24.812,0.399066,0.325702,2.970952,-9999,0.3072582,2.34621,0.366922,0.881333,Dammam,net
A-18-00,1014.86,10.7301,-9999,-9999,78.518,158.3426,-9999,25.1173,0.420557,0.322438,2.985546,-9999,0.2957072,2.37476,0.386355,0.8923998,Dammam,net
A-18-00,1015.01,11.0241,-9999,0.278536904,77.8202,153.6001,-9999,24.2309,0.427632,0.327305,2.970436,-9999,0.2896217,2.39605,0.391336,0.9053015,Dammam,net
A-18-00,1015.16,10.3045,-9999,-9999,77.7049,150.0429,-9999,22.5461,0.426156,0.336419,2.946663,-9999,0.2900202,2.40257,0.387164,0.9072232,Dammam,net
A-18-00,1015.32,8.9547,-9999,-9999,77.5453,148.1929,-9999,21.4472,0.434915,0.339251,2.939119,-9999,0.2910171,2.39868,0.391989,0.9001477,Dammam,net
A-18-00,1015.47,8.14868,-9999,-9999,77.1195,147.4984,-9999,21.5335,0.454189,0.33419,2.959006,-9999,0.2894311,2.39634,0.407158,0.8880286,Dammam,net
A-18-00,1015.62,8.18155,-9999,-9999,76.6581,147.2609,-9999,22.4819,0.471904,0.326685,2.997117,-9999,0.2848744,2.4023,0.422517,0.8856507,Dammam,net
A-18-00,1015.77,9.03381,-9999,-9999,76.6656,147.41,-9999,24.6748,0.490216,0.316024,3.036334,-9999,0.2780375,2.41509,0.439574,0.8896172,Dammam,net
A-18-00,1015.93,10.7693,-9999,-9999,77.2251,148.0907,-9999,26.756,0.530769,0.300381,3.064877,-9999,0.269352,2.42965,0.478108,0.880489,Dammam,net
A-18-00,1016.08,12.0113,-9999,-9999,77.7525,149.9679,-9999,27.8381,0.59078,0.280751,3.087885,-9999,0.2584991,2.44706,0.535863,0.8665737,Dammam,net
A-18-00,1016.23,12.4308,-9999,-9999,78.0248,152.133,-9999,28.6732,0.616359,0.269365,3.114158,-9999,0.2488804,2.47049,0.560657,0.8799061,Dammam,gross
A-18-00,1016.38,12.8895,-9999,-9999,77.9923,153.3537,-9999,29.8372,0.588244,0.27262,3.135624,-9999,0.243904,2.49356,0.534268,0.9197338,Dammam,gross
A-18-00,1016.53,13.7355,-9999,-9999,77.6737,154.2991,-9999,31.437,0.539638,0.287138,3.128647,-9999,0.2461575,2.50052,0.488674,0.9528453,Dammam,gross
A-18-00,1016.69,14.9708,-9999,0.245803535,77.4678,155.9218,-9999,33.5912,0.495311,0.308677,3.091375,-9999,0.2580096,2.47953,0.446135,0.9513953,Dammam,net
A-18-00,1016.84,16.7074,52.35150595,-9999,77.7203,157.2687,-9999,35.3451,0.462238,0.333935,3.043409,-9999,0.2531346,2.44023,0.414777,0.9808542,Dammam,net
A-18-00,1016.99,17.705,-9999,-9999,78.8068,158.0108,-9999,33.3365,0.419884,0.361104,2.997655,-9999,0.2722566,2.40012,0.376497,0.9574785,Dammam,net
A-18-00,1017.14,14.5386,-9999,-9999,80.7897,160.1987,-9999,27.7399,0.368231,0.376943,2.955351,-9999,0.2971976,2.36597,0.33025,0.9450998,Dammam,net
A-18-00,1017.3,8.61969,-9999,-9999,82.7195,164.759,-9999,23.83,0.341805,0.370281,2.923716,-9999,0.3168391,2.33573,0.306867,0.9277421,Dammam,net
A-18-00,1017.45,4.93427,-9999,-9999,83.5333,168.9166,-9999,22.5137,0.349045,0.348707,2.921557,-9999,0.3274246,2.31366,0.313485,0.8941114,Dammam,net
